,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
11,bamnet narong,15.4992,101.6897,87.94,32,8,8.84,TH,1612075246
30,georgetown,5.4112,100.3354,89.6,55,20,9.22,MY,1612075241
61,busselton,-33.65,115.3333,93.99,28,0,4.0,AU,1612075261
96,wagga wagga,-35.1167,147.3667,90.0,26,0,9.22,AU,1612075271
269,castlemaine,-37.0667,144.2167,84.99,27,0,3.0,AU,1612075312
329,beloha,-25.1667,45.05,92.98,41,0,5.82,MG,1612075324
362,umarkot,25.3616,69.7362,80.89,15,0,9.33,PK,1612075330
369,pakxe,15.1167,105.7833,87.8,35,20,2.3,LA,1612075331
429,bangalore,12.9762,77.6033,81.0,36,0,6.91,IN,1612075345
519,izazi,-7.2,35.7333,81.14,58,18,2.06,TZ,1612075365
556,mawlaik,23.6333,94.4167,85.75,24,0,1.83,MM,1612075374
